AdmitCriteria,AllowTalkaround,Autoscan,Bandwidth,ChannelMode,ColorCode,ContactName,CtcssDecode,CtcssEncode,DCDMSwitch,DataCallConfirmed,Decode1,Decode2,Decode3,Decode4,Decode5,Decode6,Decode7,Decode8,DisplayPTTID,EmergencyAlarmAck,EmergencySystem,GPSSystem,GroupList,InCallCriteria,LeaderMS,LoneWorker,Name,Power,Privacy,PrivacyNumber,PrivateCallConfirmed,QtReverse,ReceiveGPSInfo,RepeaterSlot,ReverseBurst,RxFrequency,RxOnly,RxRefFrequency,RxSignallingSystem,ScanList,SendGPSInfo,Squelch,Talkaround,Tot,TotRekeyDelay,TxFrequencyOffset,TxRefFrequency,TxSignallingSystem,Vox
Always,Off,Off,12.5,Analog,1,Contact1,D152N,D152N,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,SBO-OVSAR Ch1,High,None,1,Off,180,Off,1,On,163.62,Off,Low,Off,ScanList1,Off,2,Off,300,0,+0.00000,Low,Off,Off
Always,Off,Off,12.5,Analog,1,Contact1,D152N,D152N,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,SBO-OVSAR Ch2,High,None,1,Off,180,Off,1,On,163.62,Off,Low,Off,ScanList1,Off,2,Off,300,0,-15.56000,Low,Off,Off
Always,Off,Off,12.5,Analog,1,Contact1,D152N,D152N,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,SBO-OVSAR Ch3,High,None,1,Off,180,Off,1,On,149.08,Off,Low,Off,ScanList1,Off,2,Off,300,0,+0.00000,Low,Off,Off
Always,Off,Off,12.5,Analog,1,Contact1,D152N,D152N,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,SBO-OVSAR Ch4,High,None,1,Off,180,Off,1,On,149.08,Off,Low,Off,ScanList1,Off,2,Off,300,0,-6.62500,Low,Off,Off
Always,Off,Off,12.5,Analog,1,Contact1,156.7,156.7,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,SAR Interop Freq,High,None,1,Off,180,Off,1,On,149.08,Off,Low,Off,ScanList1,Off,2,Off,300,0,+0.00000,Low,Off,Off
Always,Off,Off,12.5,Analog,1,Contact1,D152N,D152N,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,SBO Admin Ch6,High,None,1,Off,180,Off,1,On,151.115,Off,Low,Off,ScanList1,Off,2,Off,300,0,+0.00000,Low,Off,Off
Always,Off,Off,12.5,Analog,1,Contact1,None,None,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,SBO-OVSAR Ch7,High,None,1,Off,180,Off,1,On,146.52,Off,Low,Off,ScanList1,Off,2,Off,300,0,+0.00000,Low,Off,Off
Always,Off,Off,12.5,Analog,1,Contact1,151.4,151.4,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,OSARVA10,High,None,1,Off,180,Off,1,On,151.115,Off,Low,Off,ScanList1,Off,2,Off,300,0,+0.00000,Low,Off,Off
Always,Off,Off,25,Analog,1,Contact1,136.5,136.5,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,EMGCTR VE3OCE(8),High,None,1,Off,180,Off,1,On,146.88,Off,Low,Off,ScanList1,Off,2,Off,300,0,-0.60000,Low,Off,Off
Always,Off,Off,25,Analog,1,Contact1,100.0,100.0,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,EMGEST VA3EMV(9),High,None,1,Off,180,Off,1,On,146.985,Off,Low,Off,ScanList1,Off,2,Off,300,0,-0.60000,Low,Off,Off
Always,Off,Off,25,Analog,1,Contact1,123.0,123.0,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,None,None,GroupList1,Always,Off,Off,EMGWST VA3EMV(10,High,None,1,Off,180,Off,1,On,145.21,Off,Low,Off,ScanList1,Off,2,Off,300,0,-0.60000,Low,Off,Off
