CallID,CallReceiveTone,CallType,Name
1,No,Group,Analog
2,No,Group,TG-2 Local
3,No,Group,North America
5469,No,Group,VE3TST Local
8,No,Group,TG-8 Local
9,No,Group,TG-9 Local
13,No,Group,WorldWideENGLISH
91,No,Group,BM 91 World Wide
93,No,Group,BM 93 North Amer
99,No,Group,Simplex 99
30239,No,Group,SAR TalkGroup
302999,No,Private,APRS BM 302999
310999,No,Private,APRS Gate 310999
302,No,Group,Canada Wide
302299,No,Group,Canada Testing
30252,No,Group,Canada FREE
30255,No,Group,Canada Veterans
30265,No,Group,Canada Boating
3020,No,Group,Province NL  PEI
30201,No,Group,NL Rag Chew
3021,No,Group,Province NS
30211,No,Group,NS Rag Chew
3022,No,Group,Province Quebec
30220,No,Group,QC Rag Chew
30221,No,Group,QC Rag Chew1
30222,No,Group,QCDMRFusionLnk1
302205,No,Group,QCDMRFusionLnk2
302220,No,Group,QC DMR
3023,No,Group,Province Ontario
30232,No,Group,ON Storm Spot
30231,No,Group,ON Rag Chew
302310,No,Group,Canada TAC
30236,No,Group,Canada-Link
302377,No,Group,Uncle Sams Cafe
3024,No,Group,ProvinceManitoba
30241,No,Group,MB Rag Chew
3025,No,Group,Province Sask
30251,No,Group,SK Rag Chew
3026,No,Group,Province Alberta
30260,No,Group,AB Truckers
30261,No,Group,AB Rag Chew
3027,No,Group,Province BC
30271,No,Group,BC1 Rag Chew
30272,No,Group,BC2 Rag Chew
3028,No,Group,Province NTYT NU
30281,No,Group,NT YT NU Rag Che
30285,No,Group,Hiking in the fo
3029,No,Group,Province NB
30291,No,Group,NB Rag Chew
302911,No,Group,Disaster Canada
3020911,No,Group,Disaster NL PEI
3021911,No,Group,Disaster NS
3022911,No,Group,Disaster QC
3023911,No,Group,Disaster ON
3024911,No,Group,Disaster MB
3025911,No,Group,Disaster SK
3026911,No,Group,Disaster AB
3027911,No,Group,Disaster BC
3028911,No,Group,Disaster NT YT N
3029911,No,Group,Disaster NB
3023065,Ring,Private,_Peter 3065_
3023212,Ring,Private,_Peter 3212_
3020342,No,Private,_Beth 0342_
3020304,No,Private,_Christian 0304
3020238,Ring,Private,_Jack 0238_
3023466,No,Private,_Luc 3466_
3020920,Ring,Private,_Reg 0920_
3023078,Ring,Private,_Tracy 3078_
3021639,Ring,Private,_SBO-OVSAR F-150
3021640,Ring,Private,_SBO-OVSAR UTV
4000,No,Private,_RPTR Disconnect
5000,No,Private,_RPTR Status_
9990,No,Private,_RPTR Parrot BM_
9999,No,Private,_Parrot OS_
3020356,Ring,Private,_Don 0356_
3020237,Ring,Private,_VA3COC Private_
302354,No,Group,L'Ange Gardien
302010,No,Group,VE3PRV Hammond
31655,No,Group,Venture Overland
1137550,No,Group,Overland Bound
3021796,Ring,Private,_Denis 1796_
3021818,Ring,Private,_Daniel 1818_
