"No.","Radio ID","Name","Call Type","Call Alert"
"1","1","Analog","Group Call","None"
"2","2","TG-2 Local","Group Call","None"
"3","3","North America","Group Call","None"
"4","5469","VE3TST Local","Group Call","None"
"5","8","TG-8 Local","Group Call","None"
"6","9","TG-9 Local","Group Call","None"
"7","13","WorldWideENGLISH","Group Call","None"
"8","91","BM 91 World Wide","Group Call","None"
"9","93","BM 93 North Amer","Group Call","None"
"10","99","Simplex 99","Group Call","None"
"11","30239","SAR TalkGroup","Group Call","None"
"12","302999","APRS BM 302999","Private Call","None"
"13","310999","APRS Gate 310999","Private Call","None"
"14","302","Canada Wide","Group Call","None"
"15","302299","Canada Testing","Group Call","None"
"16","30252","Canada FREE","Group Call","None"
"17","30255","Canada Veterans","Group Call","None"
"18","30265","Canada Boating","Group Call","None"
"19","3020","Province NL  PEI","Group Call","None"
"20","30201","NL Rag Chew","Group Call","None"
"21","3021","Province NS","Group Call","None"
"22","30211","NS Rag Chew","Group Call","None"
"23","3022","Province Quebec","Group Call","None"
"24","30220","QC Rag Chew","Group Call","None"
"25","30221","QC Rag Chew1","Group Call","None"
"26","30222","QCDMRFusionLnk1","Group Call","None"
"27","302205","QCDMRFusionLnk2","Group Call","None"
"28","302220","QC DMR","Group Call","None"
"29","3023","Province Ontario","Group Call","None"
"30","30232","ON Storm Spot","Group Call","None"
"31","30231","ON Rag Chew","Group Call","None"
"32","302310","Canada TAC","Group Call","None"
"33","30236","Canada-Link","Group Call","None"
"34","302377","Uncle Sams Cafe","Group Call","None"
"35","3024","ProvinceManitoba","Group Call","None"
"36","30241","MB Rag Chew","Group Call","None"
"37","3025","Province Sask","Group Call","None"
"38","30251","SK Rag Chew","Group Call","None"
"39","3026","Province Alberta","Group Call","None"
"40","30260","AB Truckers","Group Call","None"
"41","30261","AB Rag Chew","Group Call","None"
"42","3027","Province BC","Group Call","None"
"43","30271","BC1 Rag Chew","Group Call","None"
"44","30272","BC2 Rag Chew","Group Call","None"
"45","3028","Province NTYT NU","Group Call","None"
"46","30281","NT YT NU Rag Che","Group Call","None"
"47","30285","Hiking in the fo","Group Call","None"
"48","3029","Province NB","Group Call","None"
"49","30291","NB Rag Chew","Group Call","None"
"50","302911","Disaster Canada","Group Call","None"
"51","3020911","Disaster NL PEI","Group Call","None"
"52","3021911","Disaster NS","Group Call","None"
"53","3022911","Disaster QC","Group Call","None"
"54","3023911","Disaster ON","Group Call","None"
"55","3024911","Disaster MB","Group Call","None"
"56","3025911","Disaster SK","Group Call","None"
"57","3026911","Disaster AB","Group Call","None"
"58","3027911","Disaster BC","Group Call","None"
"59","3028911","Disaster NT YT N","Group Call","None"
"60","3029911","Disaster NB","Group Call","None"
"61","3023065","_Peter 3065_","Private Call","Ring"
"62","3023212","_Peter 3212_","Private Call","Ring"
"63","3020342","_Beth 0342_","Private Call","None"
"64","3020304","_Christian 0304","Private Call","None"
"65","3020238","_Jack 0238_","Private Call","Ring"
"66","3023466","_Luc 3466_","Private Call","None"
"67","3020920","_Reg 0920_","Private Call","Ring"
"68","3023078","_Tracy 3078_","Private Call","Ring"
"69","3021639","_SBO-OVSAR F-150","Private Call","Ring"
"70","3021640","_SBO-OVSAR UTV","Private Call","Ring"
"71","4000","_RPTR Disconnect","Private Call","None"
"72","5000","_RPTR Status_","Private Call","None"
"73","9990","_RPTR Parrot BM_","Private Call","None"
"74","9999","_Parrot OS_","Private Call","None"
"75","3020356","_Don 0356_","Private Call","Ring"
"76","3020237","_VA3COC Private_","Private Call","Ring"
"77","302354","L'Ange Gardien","Group Call","None"
"78","302010","VE3PRV Hammond","Group Call","None"
"79","31655","Venture Overland","Group Call","None"
"80","1137550","Overland Bound","Group Call","None"
"81","3021796","_Denis 1796_","Private Call","Ring"
"82","3021818","_Daniel 1818_","Private Call","Ring"
