"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","CH Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","Encryption Type","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS Report","APRS Report Channel"
"1","SBO-OVSAR Ch1","163.62000","163.62000","A-Analog","High","12.5K","D152N","D152N","Analog","Group Call","TJ Ricou","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","1"
"2","SBO-OVSAR Ch2","163.62000","148.06000","A-Analog","High","12.5K","D152N","D152N","Analog","Group Call","TJ Ricou","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"3","SBO-OVSAR Ch3","149.08000","149.08000","A-Analog","High","12.5K","D152N","D152N","Analog","Group Call","TJ Ricou","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"4","SBO-OVSAR Ch4","149.08000","142.45500","A-Analog","High","12.5K","D152N","D152N","Analog","Group Call","TJ Ricou","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"5","SAR Interop Freq","149.08000","149.08000","A-Analog","High","12.5K","156.7","156.7","Analog","Group Call","TJ Ricou","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"6","SBO Admin Ch6","151.11500","151.11500","A-Analog","High","12.5K","D152N","D152N","Analog","Group Call","TJ Ricou","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"7","SBO-OVSAR Ch7","146.52000","146.52000","A-Analog","High","12.5K","Off","Off","Analog","Group Call","TJ Ricou","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"8","OSARVA10","151.11500","151.11500","A-Analog","High","12.5K","151.4","151.4","Analog","Group Call","TJ Ricou","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","1"
"11","EMGCTR VE3OCE(8)","146.88000","146.28000","A-Analog","High","25K","136.5","136.5","Analog","Group Call","TJ Ricou","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","1"
"12","EMGEST VA3EMV(9)","146.98500","146.38500","A-Analog","High","25K","100.0","100.0","Analog","Group Call","TJ Ricou","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","1"
