"No.","Zone Name","Zone Channel Member","A Channel","B Channel"
"1","Zn: VE2RAO","RAO 30239 SAR|RAO 30236|REHCF (29)|REHCTLY (23)|RAO 302010|RAO 302354|RAO 302|RAO 3022|RAO 3022911|RAO 3023|RAO 30231|RAO 3023911|RAO Beth VA3LAK|RAO Chris VA2ESK|RAO DanielVA3GLB|RAO Denis VA3DIL|RAO Don VA2EEK|RAO Jack VE2XTT|RAO Luc VE3LDC|RAO Peter1VA3YOW|RAO Peter2VA3YOW|RAO Reg VA3WZN|RAO Tracy VA3TXN|RAO VA3COC Priv|RAO F-150 Privat|RAO UTV Priv|RAO 91|RAO TG-2 Local|RAO TG-8 Local|RAO Status|RAO Disconnect|RAO Parrot|RAO Overland|RAO Venture OB","RAO 30239 SAR","RAO 30236"
"2","Zn: REH (G)","REH(G) 30239 SAR|REH (G) 30236|REHCF (29)|REHCTLY (23)|REH (G) 302010|REH (G) 302354|REH (G) 302|REH (G) 3022|REH (G) 3022911|REH (G) 3023|REH (G) 3023911|REH (G) Beth LAK|REH (G) ChrisESK|REH (G) Don EEK|REH (G) Jack XTT|REH (G) Luc LDC|REH (G)Peter1YOW|REH (G)Peter2YOW|REH (G) Reg WZN|REH (G) TracyTXN|REH (G) VA3COC|REH (G) F-150 PR|REH (G) UTV PR|REH (G) TG-2|REH (G) TG-8|REH (G) Status|REH (G)Disconect|REH (G) Parrot","REH(G) 30239 SAR","REH (G) 30236"
"3","Zn: REH East","REH(E) 30239 SAR|REH (E) 30236|REHCF (29)|REHCTLY (23)|REH (E) 302010|REH (E) 302354|REH (E) 302|REH (E) 3022|REH (E) 3022911|REH (E) 3023|REH (E) 3023911|REH (E) Beth LAK|REH (E) ChrisESK|REH (E) Don EEK|REH (E) Jack XTT|REH (E) Luc LDC|REH (E)Peter1YOW|REH (E)Peter2YOW|REH (E) Reg WZN|REH (E) TracyTXN|REH (E) VA3COC|REH (E) F-150 PR|REH (E) UTV PR|REH (E) TG-2|REH (E) TG-8|REH (E) Status|REH (E)Disconect|REH (E) Parrot|VE3PRV 30239 SAR|VE3PRV REG E3WZN|VE3PRV Jack XTT|VE3PRV F-150|VE3PRV UTV|VE3PRV Status|VE3PRV Parrot","REH(E) 30239 SAR","REH (E) 30236"
"4","Zn: REH North","REH(N) 30239 SAR|REH (N) 30236|REH (N) 302010|REH (N) 302354|REH (N) 302|REH (N) 3022|REH (N) 3022911|REH (N) 3023|REH (N) 3023911|REH (N) Beth LAK|REH (N) ChrisESK|REH (N) Don EEK|REH (N) Jack XTT|REH (N) Luc LDC|REH (N)Peter1YOW|REH (N)Peter2YOW|REH (N) Reg WZN|REH (N) TracyTXN|REH (N) VA3COC|REH (N) F-150 PR|REH (N) UTV PR|REH (N) TG-2|REH (N) TG-8|REH (N) Status|REH (N)Disconect|REH (N) Parrot","REH(N) 30239 SAR","REH (N) 30236"
"5","Zn: SouthWest","TST 30239 Local|TST Canada-Link|TST TG:2 Local|REH PAK (25)","TST 30239 Local","TST Canada-Link"
"6","Zn: REH Analog","REHCF (29)|REHCTLY (23)|REH BF (30)|REH BUK (24)|REH CB (28)|REH CMY (45)|REH GAT (118)|REH HUB U (32)|REH HULL (117)|REH LDL (47)|REH MLR (27)|REH MSM (26)|REH MTL U (33)|REH MYO (44)|REH PAK (25)|REH POR U (406)|REH PRT (46)|REH RIP (119)|REH RPN (31)|REH SBR (120)|REH SX|REH U CLY (121)|REH U LDL (124)|REH U RIP (123)|REH U SX (122)","REHCTLY (23)","REHCF (29)"
"7","Zn: EMRG","EMGCTR VE3OCE(8)|EMGEST VA3EMV(9)|EMGWST VA3EMV(10|EMGBAR VA3OFS(11|EMGPRT VA3EMV/P|EMGUHF VE3OCE(15|EMRGU2 VE3EMU(16","EMGCTR VE3OCE(8)","EMGEST VA3EMV(9)"
"8","Zn: Hams","VE3MPC|VE3TWO|VE2RAO-V|VE2RAO-U|VE2CRA-V|VE2CRA-U|VHF Call|UHF Call","VE3MPC","VE3TWO"
"9","Zn: FRS-GMRS","F01-FRS01-GMRS02|F02-FRS02-GMRS04|F03-FRS03-GMRS06|F04-FRS04-GMRS08|F05-FRS05-GMRS10|F06-FRS06-GMRS12|F07-FRS07-GMRS14|F08-FRS 08|F09-FRS 09|F10-FRS 10|F11-FRS 11|F12-FRS 12|F13-FRS 13|F14-FRS 14|F15-GMRS 01|F16-GMRS 03|F17-GMRS 05|F18-GMRS 07|F19-GMRS 09|F20-GMRS 11|F21-GMRS 13|F22-GMRS 15","F01-FRS01-GMRS02","F15-GMRS 01"
"10","Zn: Simplex","AV 01 146.415|AV 02 146.430|AV 03 146.445|AV 04 146.460|AV 05 146.475|AV 06 146.490|AV 07 146.505|AV 08 146.520|AV 09 146.535|AV 10 146.550|AV 11 146.565|AV 12 146.580|AV 13 146.595|AV 14 147.420|AV 15 147.450|AV 16 147.480|AV 17 147.510|AV 18 147.540|AV 19 147.570|AV 20 446.000|AV 21 446.025|AV 22 446.050|AV 23 446.075|AV 24 446.100|AV 25 446.125|AV 26 446.150|AV 27 446.175|DV 01 147.435|DV 02 147.465|DV 03 147.495|DV 04 147.525|DV 05 147.555|DV 06 147.585|DV 07 445.800|DV 08 445.825|DV 09 445.850|DV 10 445.900|DV 11 445.925|DV 12 445.950|DV 13 445.975|DV 14 446.800|DV 15 446.825|DV 16 446.850|DV 17 446.900|DV 18 446.925|DV 19 446.950|DV 20 446.975","AV 01 146.415","DV 01 147.435"
